"Subject","LnAge","Mtype","Sex","LnThresh"
"S01",2.197225,"FO","f",3.2188758
"S02",2.197225,"FO","f",2.1860513
"S03",2.197225,"FO","m",2.1860513
"S04",2.197225,"FO","m",2.8791985
"S05",2.197225,"FO","f",2.1041342
"S05",2.197225,"SO","f",3.8918203
"S06",2.197225,"FO","m",3.1863526
"S06",2.197225,"SO","m",3.9512437
"S07",2.197225,"FO","f",1.6486586
"S08",2.197225,"FO","m",1.8405496
"S08",2.197225,"SO","m",2.5257286
"S09",2.197225,"FO","m",2.2060742
"S09",2.197225,"SO","m",4.6051702
"S10",2.197225,"FO","m",2.1747517
"S11",2.197225,"FO","f",2.8959119
"S12",2.302585,"FO","f",1.7749524
"S13",2.302585,"FO","f",2.1041342
"S13",2.302585,"SO","f",4.6051702
"S14",2.302585,"FO","m",2.5176965
"S14",2.302585,"SO","m",4.6051702
"S15",2.302585,"FO","m",2.2082744
"S15",2.302585,"SO","m",4.1042949
"S16",2.302585,"FO","f",3.2188758
"S17",2.302585,"SO","m",4.6051702
"S18",2.302585,"FO","f",2.5257286
"S19",2.302585,"FO","m",2.1804175
"S20",2.302585,"FO","m",2.1860513
"S21",2.302585,"FO","m",3.2188758
"S21",2.302585,"SO","m",3.910021
"S22",2.302585,"FO","f",2.1860513
"S22",2.302585,"SO","f",3.6054978
"S23",2.397895,"SO","m",4.6051702
"S24",2.397895,"FO","m",2.9957323
"S24",2.397895,"SO","m",4.6041697
"S25",2.397895,"FO","f",3.1045867
"S26",2.397895,"FO","f",2.5257286
"S27",2.397895,"FO","f",2.5257286
"S27",2.397895,"SO","f",4.6051702
"S28",2.484907,"FO","m",3.0007198
"S28",2.484907,"SO","m",4.6051702
"S29",2.484907,"FO","m",1.8405496
"S30",2.484907,"FO","m",2.2060742
"S30",2.484907,"SO","m",4.6051702
"S31",2.484907,"FO","m",1.0986123
"S32",2.484907,"SO","m",4.3161539
"S33",2.484907,"FO","f",2.8903718
"S33",2.484907,"SO","f",4.6051702
"S34",2.484907,"FO","f",3.1484534
"S35",2.564949,"FO","f",1.474763
"S35",2.564949,"SO","f",4.6051702
"S36",2.564949,"SO","f",4.6051702
"S37",2.639057,"FO","f",1.0986123
"S38",2.639057,"FO","m",1.974081
"S38",2.639057,"SO","m",4.6051702
"S39",2.639057,"FO","m",1.8405496
"S39",2.639057,"SO","m",4.5053499
"S40",2.70805,"FO","f",2.1041342
"S41",2.70805,"FO","m",2.7536607
"S41",2.70805,"SO","m",4.5086593
"S42",2.772589,"FO","f",3.1986731
"S42",2.772589,"SO","f",4.6051702
"S43",2.772589,"FO","m",1.6034198
"S43",2.772589,"SO","m",3.8044378
"S44",2.772589,"FO","f",1.8245493
"S44",2.772589,"SO","f",4.6051702
"S45",2.772589,"FO","m",1.5475625
"S45",2.772589,"SO","m",4.6051702
"S46",2.890372,"SO","m",4.574711
"S47",2.944439,"FO","m",2.6026897
"S47",2.944439,"SO","m",3.912023
"S48",3.091042,"FO","f",2.5257286
"S49",3.401197,"FO","f",1.0986123
"S49",3.401197,"SO","f",3.2188758
"S50",3.401197,"FO","f",1.0986123
"S50",3.401197,"SO","f",3.2188758
"S51",3.583519,"FO","f",0.6931472
"S51",3.583519,"SO","f",3.6054978
"S52",3.583519,"FO","f",2.7536607
"S52",3.583519,"SO","f",3.7704594
"S53",3.583519,"SO","f",3.8918203
"S54",3.583519,"FO","f",0.604316
"S54",3.583519,"SO","f",2.6026897
"S55",3.583519,"FO","m",1.0986123
"S55",3.583519,"SO","m",3.165475
"S56",3.583519,"FO","f",0.7884574
"S56",3.583519,"SO","f",3.5610461
"S57",3.583519,"FO","f",1.5475625
"S57",3.583519,"SO","f",3.2188758
"S58",3.73767,"FO","f",1.0986123
"S58",3.73767,"SO","f",3.7495041
"S59",3.73767,"FO","f",0.7884574
"S59",3.73767,"SO","f",2.6026897
"S60",3.73767,"SO","f",3.4563167
"S61",3.871201,"FO","f",1.0986123
"S61",3.871201,"SO","f",2.6026897
"S62",3.871201,"FO","f",0.4700036
"S62",3.871201,"SO","f",2.6026897
"S63",4.094345,"FO","m",1.5475625
"S63",4.094345,"SO","m",2.8735646
"S64",4.094345,"FO","f",0.9932518
"S64",4.094345,"SO","f",2.6026897
"S65",4.189655,"FO","m",0.4700036
"S65",4.189655,"SO","m",2.6026897
"S66",4.430817,"FO","f",0.5877867
"S66",4.430817,"SO","f",2.8735646
"S67",4.430817,"FO","m",0.4446858
"S67",4.430817,"SO","m",3.102342
"S68",4.430817,"FO","m",0.5306283
"S68",4.430817,"SO","m",2.1860513
"S69",2.484907,"FO","m",2.7536607
"S69",2.484907,"SO","m",4.6051702
"S70",2.70805,"FO","f",2.2082744
